Gene,Phase C p-value,Phase C effect,Phase C fold-change,Phase D p-value,Phase D effect,Pct cells,Phase,Highly expressed C+,Highly expressed C-,De-repressed phase D,Case-control p-value,Case-control fold-change
ACSS1,0.559,-0.0008831816,0.876,9.61e-15,2.911645,2.33,D,N,N,N,0.0464,1.034
ACTB,0.922,2.729947e-05,1.004,2.39e-12,0.6165723,80.33,D,N,N,N,0.112,0.864
ACTG1,0.00666,-0.001015567,0.859,1.31e-16,0.9190857,55.99,D,N,N,N,0.00123,0.651
ADARB2,0.582,-0.0006224545,0.911,4.68e-32,4.008757,6.3,D,N,N,N,2.15e-06,0.633
ADCY2,0.539,0.000551415,1.086,1.85e-30,3.311313,14.67,D,N,N,N,0.0929,2.053
ADCY8,0.16,-0.002340143,0.704,4.2e-26,5.246441,1.8,D,N,N,N,0.869,1.205
ADGRG1,0.372,-0.002040569,0.736,1.64e-15,5.254646,0.75,D,N,N,N,0.0231,6.917
ADRA1A,0.0126,0.004988092,2.113,8.2e-17,5.995926,0.45,D,N,N,N,0.0236,3.397
AEBP1,0.00502,-0.006695456,0.366,1.4e-25,5.026094,1.35,D,N,N,N,0.00676,0.722
AHNAK,0.0786,-0.00131046,0.822,5.61e-15,1.696854,15.18,D,N,N,N,0.015,0.605
AL049874.3,0.053,-0.00371513,0.573,3.5e-28,7.531577,0.49,D,N,N,Y,0.65,3.8
AL136311.1,0.00378,0.001022389,1.166,2.96e-13,0.8320737,57.11,D,N,N,N,0.000154,0.66
AL354809.1,0.0707,-0.001198948,0.835,8.29e-20,1.870893,21.73,D,N,N,N,0.93,1.011
AL359922.1,0.00765,0.001985347,1.347,1.96e-16,2.030207,18.73,D,N,N,N,0.198,1.419
AL391807.1,8.79e-14,0.001720306,1.294,1.85e-21,0.7503021,77.72,D,N,N,N,0.507,1.066
AL445623.2,0.00334,0.004921912,2.092,4.18e-16,4.434559,1.8,D,N,N,N,1.4e-07,5.381
AL590094.1,1.54e-05,0.00413952,1.861,4.61e-20,2.93089,11.49,D,N,N,N,1.25e-08,2.623
AL590617.2,0.118,-0.004035684,0.546,2.34e-12,4.010228,0.94,D,N,N,N,0.0412,1.209
ALDH1A1,0.00399,-0.008753347,0.269,8.06e-19,7.34537,0.9,D,N,N,N,0.00736,0.753
ALDH1L1,0.0416,-0.004035128,0.546,2.08e-23,5.085727,1.37,D,N,N,N,0.00349,0.731
