Gene,Phase C p-value,Phase C effect,Phase C fold-change,Phase D p-value,Phase D effect,Pct cells,Phase,Highly expressed C+,Highly expressed C-,De-repressed phase D,Case-control p-value,Case-control fold-change
VPS13B,2.75e-12,0.0006743242,1.106,0.819,0.007443969,100.0,C+,Y,N,N,0.0034,1.061
VPS13C,7.84e-22,0.001106982,1.181,3.31e-05,0.1634794,99.94,C+,Y,N,N,1.68e-06,1.184
VWDE,3.5e-11,0.001865917,1.323,0.67,-0.04163365,76.29,C+,N,N,N,0.0559,1.077
WDFY2,9.65e-11,0.00182668,1.315,2.2e-07,0.4989599,77.41,C+,N,N,N,0.151,1.119
WDR78,4.66e-11,0.001717076,1.294,1.42e-05,0.3857997,84.33,C+,N,N,N,0.000109,1.188
WNK1,6.13e-12,0.0007597344,1.121,9.43e-06,0.1652975,99.98,C+,Y,N,N,6.46e-05,1.122
WNK2,2.44e-19,0.001185468,1.195,0.0879,0.07799411,99.51,C+,Y,N,N,0.925,1.027
XIST,1.54e-14,0.0005921971,1.093,0.0644,0.05114214,69.88,C+,N,N,N,0.728,1.021
XPR1,5.56e-11,0.0008625768,1.138,0.575,0.02505156,99.67,C+,Y,N,N,0.129,1.056
YWHAG,3.71e-11,0.00121448,1.2,9e-05,0.2410905,94.96,C+,Y,N,N,0.26,0.984
ZBTB20,6e-13,0.000857904,1.137,4.89e-05,0.160656,100.0,C+,Y,N,N,0.00169,1.173
ZCCHC17,6.06e-13,0.001394235,1.233,4.5e-06,0.3059739,93.39,C+,Y,N,N,0.661,1.026
ZDHHC20,6.68e-11,0.001018921,1.165,0.000168,0.2005412,98.25,C+,Y,N,N,1.41e-06,1.147
ZDHHC21,1.23e-20,0.001311519,1.217,2e-09,0.289845,99.29,C+,Y,N,N,0.0321,1.08
ZEB1,1.14e-11,0.0009065897,1.146,0.855,0.008196397,99.92,C+,Y,N,N,5.94e-06,1.138
ZFAND3,2.21e-11,0.0006185513,1.097,0.282,0.03358826,100.0,C+,Y,N,N,0.0402,1.035
ZMYM2,2.97e-21,0.000907536,1.146,0.0848,0.05612152,99.98,C+,Y,N,N,0.0129,1.061
ZMYM4,6.86e-11,0.0009031392,1.145,0.234,-0.05649132,99.53,C+,Y,N,N,0.0321,1.063
ZNF493,3.61e-11,0.001047619,1.17,0.749,-0.01760014,97.67,C+,Y,N,N,3.87e-09,1.273
ZNF528,1.7e-11,0.001226972,1.202,0.108,0.1029238,93.1,C+,Y,N,N,0.131,0.924
ZNF609,2.66e-14,0.0009757832,1.158,0.000161,0.1639502,99.96,C+,Y,N,N,0.191,1.053
ZNF638,1.38e-22,0.0008015946,1.128,0.000728,0.09409768,100.0,C+,Y,N,N,1.79e-09,1.211
ZNF831,7.93e-15,0.001673124,1.285,0.367,-0.06792252,91.45,C+,Y,N,N,7.73e-06,1.259
