Gene,Phase C p-value,Phase C effect,Phase C fold-change,Phase D p-value,Phase D effect,Pct cells,Phase,Highly expressed C+,Highly expressed C-,De-repressed phase D,Case-control p-value,Case-control fold-change
DOCK4,5.08e-13,-0.001019789,0.858,1.04e-06,-0.225875,100.0,C-,N,Y,N,0.0408,1.075
DPY19L3,2.97e-13,-0.001915208,0.75,0.139,-0.1240717,93.9,C-,N,Y,N,0.124,0.939
DPYSL5,1.21e-24,-0.001444923,0.805,0.000172,-0.1713634,99.98,C-,N,Y,N,0.00475,0.944
DRD1,7.27e-17,-0.002329187,0.705,0.245,-0.09162194,69.82,C-,N,N,N,0.0015,1.359
EGFR,4.36e-13,-0.001978452,0.743,0.00288,-0.2631358,93.78,C-,N,Y,N,0.208,0.959
EML1,1.82e-37,-0.001531013,0.795,5.28e-17,-0.3239123,100.0,C-,N,Y,N,0.0023,0.902
EPB41L2,8.07e-53,-0.001518724,0.796,2.9e-24,-0.3272982,100.0,C-,N,Y,N,2.98e-07,0.822
EPHX4,1.55e-11,-0.001379763,0.813,0.00813,-0.1738156,97.12,C-,N,Y,N,0.055,1.084
EYA1,7.73e-42,-0.002470036,0.69,2.8e-20,-0.5450286,99.71,C-,N,Y,N,0.0625,1.073
FAM171A1,1.35e-36,-0.00137866,0.813,0.000119,-0.1364736,100.0,C-,N,Y,N,0.626,0.994
FAT3,4.51e-61,-0.001664477,0.779,7.31e-29,-0.3659159,100.0,C-,N,Y,N,0.232,0.961
FBXW8,6.35e-16,-0.001482901,0.801,1.15e-06,-0.2830723,98.67,C-,N,Y,N,1.63e-07,0.565
FOXG1,2.37e-23,-0.002783452,0.659,8.67e-09,-0.5023424,92.78,C-,N,Y,N,1.8e-08,0.533
FSTL4,2.89e-23,-0.001586273,0.788,8.52e-10,-0.3192602,99.98,C-,N,Y,N,0.00165,0.872
FTCD,8.42e-11,-0.001903704,0.752,0.0481,-0.1822381,80.21,C-,N,N,N,0.0086,1.214
GALNT18,8.59e-17,-0.001337729,0.818,1.31e-06,-0.2532113,99.35,C-,N,Y,N,0.00444,0.882
GNAL,6.5e-34,-0.001047352,0.855,4.63e-05,-0.1152212,100.0,C-,N,Y,N,0.000333,1.132
GNG7,1.21e-44,-0.001648542,0.781,2.91e-07,-0.1953241,100.0,C-,N,Y,N,0.875,1.048
GPC5,2.27e-12,-0.0009754888,0.864,8.94e-13,-0.3244751,99.98,C-,N,Y,N,0.353,1.043
GPR137C,1.59e-12,-0.001358947,0.816,0.00128,-0.2010232,99.16,C-,N,Y,N,0.14,1.047
GRIA3,4.01e-14,-0.000751228,0.893,1.4e-07,-0.1713633,100.0,C-,N,Y,N,0.000177,1.089
GRM3,1.99e-14,-0.001133561,0.844,6.13e-14,-0.3631558,99.96,C-,N,Y,N,0.771,1.005
GRM8,6.62e-14,-0.001308571,0.822,2.45e-15,-0.4489978,99.06,C-,N,Y,N,0.00195,1.172
GUCY1A2,6.61e-14,-0.0007688436,0.891,7.64e-21,-0.3143428,100.0,C-,N,Y,N,0.98,1.004
HMP19,9.52e-20,-0.001010602,0.859,0.446,0.02735455,100.0,C-,N,Y,N,0.00061,0.898
HRH2,1.56e-24,-0.001629963,0.783,0.000117,-0.1972636,99.69,C-,N,Y,N,6.92e-07,0.778
HS3ST5,5.89e-11,-0.0009083121,0.873,1.62e-16,-0.3739274,99.98,C-,N,Y,N,0.0615,0.915
HTR2C,5.17e-16,-0.001059367,0.853,3.88e-17,-0.3592687,99.96,C-,N,Y,N,0.0708,0.921
HTR4,5.3e-21,-0.001184059,0.837,1.19e-15,-0.3291524,99.96,C-,N,Y,N,5.74e-08,0.811
INPP5A,2.08e-53,-0.001780059,0.766,8.35e-05,-0.1474284,100.0,C-,N,Y,N,0.516,0.97
IVNS1ABP,1.59e-11,-0.001526418,0.795,0.00943,-0.1814867,90.86,C-,N,Y,N,0.275,0.961
JAKMIP1,2.01e-18,-0.001030561,0.857,0.164,-0.05380302,100.0,C-,N,Y,N,0.00713,1.149
JPH4,6.06e-19,-0.001145637,0.842,0.808,-0.01008286,99.9,C-,N,Y,N,0.992,1.002
KAZN,1.11e-12,-0.0008202525,0.884,4.74e-14,-0.2847045,100.0,C-,N,Y,N,0.521,0.972
KCNA4,2.04e-12,-0.00173636,0.771,0.0171,-0.1860955,90.43,C-,N,Y,N,0.836,0.988
KCNAB1,1.2e-54,-0.001918726,0.75,4.13e-21,-0.3772012,100.0,C-,N,Y,N,9.73e-05,0.859
KCND2,3.31e-16,-0.0008413022,0.881,5.59e-31,-0.3892929,100.0,C-,N,Y,N,0.000324,1.208
KCNH1,2e-13,-0.001476233,0.801,0.0179,-0.1539209,99.37,C-,N,Y,N,0.0957,0.954
KCNIP2-AS1,4.85e-12,-0.001929314,0.749,0.00875,-0.2227987,86.08,C-,N,N,N,1.27e-06,0.56
KCNK1,4.29e-16,-0.001590282,0.788,8.84e-05,-0.2437777,98.76,C-,N,Y,N,0.0103,1.139
KCNQ5,1.1e-38,-0.00115156,0.841,1.69e-39,-0.3811798,100.0,C-,N,Y,N,0.00195,1.08
KCTD1,9.31e-26,-0.001491057,0.8,2.2e-10,-0.2918885,99.98,C-,N,Y,N,0.00318,0.914
KIAA1211L,1.65e-12,-0.0007748593,0.89,0.000996,-0.1191511,100.0,C-,N,Y,N,0.124,1.062
KIAA1462,7.16e-20,-0.001910449,0.751,0.000521,-0.2324464,98.67,C-,N,Y,N,3.71e-09,0.652
LAMP5,4.08e-16,-0.001826922,0.76,0.361,0.06455267,96.33,C-,N,Y,N,0.0193,1.154
LARGE1,2.81e-18,-0.0008410579,0.881,5.9e-09,-0.1837794,100.0,C-,N,Y,N,0.0106,0.895
LDB2,1.06e-20,-0.001182005,0.838,9.28e-08,-0.2208219,100.0,C-,N,Y,N,1.38e-05,0.851
LDLRAD4,6.18e-43,-0.001285496,0.825,2.83e-11,-0.2033502,100.0,C-,N,Y,N,0.00127,0.877
LINC00894,1.2e-19,-0.00268457,0.669,0.000319,-0.3377692,92.84,C-,N,Y,N,2.73e-06,0.844
LINC01085,1.02e-17,-0.004640524,0.499,0.0481,-0.3047388,58.03,C-,N,N,N,0.0216,1.224
LINC01250,3.66e-18,-0.001179869,0.838,6.63e-11,-0.2893921,99.98,C-,N,Y,N,2.75e-09,0.787
LINC01551,4.16e-42,-0.002337783,0.704,1.83e-19,-0.4961982,99.9,C-,N,Y,N,0.02,0.913
LINC02137,8.51e-46,-0.002506748,0.687,1.08e-14,-0.4304703,99.47,C-,N,Y,N,0.582,1.032
LPL,1.84e-23,-0.002213593,0.717,5.27e-06,-0.3156899,95.43,C-,N,Y,N,4e-05,0.751
LRRTM3,5.15e-12,-0.001069611,0.852,0.000238,-0.1863421,99.98,C-,N,Y,N,0.205,1.041
MACROD2,1.42e-16,-0.0006539665,0.907,2.3e-25,-0.2696031,100.0,C-,N,Y,N,0.00101,1.14
MALAT1,1.25e-189,-0.00234296,0.704,0.027,-0.0575523,100.0,C-,N,Y,N,0.000307,0.812
MAN1A1,9.68e-20,-0.001479286,0.801,4.65e-10,-0.3315454,99.92,C-,N,Y,N,0.00776,1.155
MAN2B2,8.48e-17,-0.002672343,0.67,0.24,0.1123179,79.17,C-,N,N,N,2.09e-05,0.738
MAPK4,5.23e-55,-0.002176324,0.721,5.7e-10,-0.2783761,99.98,C-,N,Y,N,0.00013,0.883
MBNL2,7.32e-31,-0.001189006,0.837,4.76e-15,-0.2632161,100.0,C-,N,Y,N,0.681,1.014
MEIS2,3.17e-16,-0.000840323,0.882,2.14e-08,-0.1890233,100.0,C-,N,Y,N,0.000482,1.089
MERTK,1.93e-11,-0.001824161,0.761,8.52e-09,-0.4943352,90.59,C-,N,Y,N,0.00038,0.789
MME,2.46e-19,-0.001561253,0.791,7.69e-09,-0.3241608,99.63,C-,N,Y,N,0.503,0.933
MOB3B,6.5e-33,-0.001951998,0.746,4.34e-12,-0.3657276,99.98,C-,N,Y,N,0.000458,0.899
MTHFD1,6.98e-13,-0.001426651,0.807,0.0174,-0.1526177,97.88,C-,N,Y,N,0.958,0.991
NDST3,9.32e-18,-0.001280593,0.825,8.92e-18,-0.4185041,99.96,C-,N,Y,N,0.342,0.96
NETO2,9.74e-23,-0.001421197,0.808,6.16e-19,-0.4191029,99.98,C-,N,Y,N,0.085,1.05
NFATC2,3.51e-11,-0.00213956,0.725,1.72e-05,-0.4416985,82.94,C-,N,N,N,7.93e-05,0.697
NGEF,1.71e-40,-0.00173479,0.771,1.22e-10,-0.2679179,99.96,C-,N,Y,N,0.00112,0.884
NPAS2,2.06e-13,-0.001163349,0.84,0.000212,-0.1929332,99.69,C-,N,Y,N,0.0304,1.187
ONECUT2,8.61e-11,-0.0008627709,0.879,0.00017,-0.1639824,99.96,C-,N,Y,N,0.196,0.933
